Algorithm,Rank,Subgroup,Support
Algorithm=cn2_sd,1,frozenset({'Algorithm=cn2_sd'}),0.23529411764705882
Algorithm=cn2_sd,2,"frozenset({'target_type=Binary', 'Algorithm=cn2_sd'})",0.21568627450980393
Algorithm=cn2_sd,3,"frozenset({'Algorithm=cn2_sd', 'Binned Coverage=High'})",0.19607843137254902
Algorithm=cn2_sd,4,"frozenset({'target_type=Binary', 'Algorithm=cn2_sd', 'Binned Coverage=High'})",0.19607843137254902
Algorithm=cn2_sd,5,"frozenset({'Algorithm=cn2_sd', 'Binned_Quality=Low'})",0.1568627450980392
Algorithm=cn2_sd,6,"frozenset({'Binned_WRAcc=Low', 'Algorithm=cn2_sd'})",0.13725490196078433
Algorithm=cn2_sd,7,"frozenset({'Algorithm=cn2_sd', 'Binned_num_columns=Medium'})",0.13725490196078433
Algorithm=cn2_sd,8,"frozenset({'target_type=Binary', 'Algorithm=cn2_sd', 'Binned_Quality=Low'})",0.13725490196078433
Algorithm=cn2_sd,9,"frozenset({'Binned_WRAcc=Low', 'Algorithm=cn2_sd', 'Binned_Quality=Low'})",0.13725490196078433
Algorithm=cn2_sd,10,"frozenset({'Algorithm=cn2_sd', 'Binned Significance=Medium'})",0.11764705882352941
Algorithm=cn2_sd,11,"frozenset({'Binned Significance=Low', 'Algorithm=cn2_sd'})",0.11764705882352941
Algorithm=cn2_sd,12,"frozenset({'target_type=Binary', 'Algorithm=cn2_sd', 'Binned_num_columns=Medium'})",0.11764705882352941
Algorithm=cn2_sd,13,"frozenset({'Binned Significance=Medium', 'Binned Coverage=High', 'Algorithm=cn2_sd'})",0.11764705882352941
Algorithm=cn2_sd,14,"frozenset({'target_type=Binary', 'Binned Significance=Medium', 'Algorithm=cn2_sd'})",0.11764705882352941
Algorithm=cn2_sd,15,"frozenset({'Binned_WRAcc=Low', 'Binned Significance=Low', 'Algorithm=cn2_sd'})",0.11764705882352941
Algorithm=cn2_sd,16,"frozenset({'Binned Significance=Low', 'Algorithm=cn2_sd', 'Binned_Quality=Low'})",0.11764705882352941
Algorithm=cn2_sd,17,"frozenset({'Binned_WRAcc=Low', 'Algorithm=cn2_sd', 'target_type=Binary'})",0.11764705882352941
Algorithm=cn2_sd,18,"frozenset({'Algorithm=cn2_sd', 'Binned Coverage=High', 'Binned_Quality=Low'})",0.11764705882352941
Algorithm=cn2_sd,19,"frozenset({'target_type=Binary', 'Binned Significance=Medium', 'Binned Coverage=High', 'Algorithm=cn2_sd'})",0.11764705882352941
Algorithm=cn2_sd,20,"frozenset({'target_type=Binary', 'Binned_WRAcc=Low', 'Binned_Quality=Low', 'Algorithm=cn2_sd'})",0.11764705882352941
Algorithm=cn2_sd,21,"frozenset({'Binned_WRAcc=Low', 'Binned Significance=Low', 'Binned_Quality=Low', 'Algorithm=cn2_sd'})",0.11764705882352941
