Datasets,num_columns,num_rows,target_type,Algorithm,Quality,Coverage,Support,WRAcc,Significance,Confidence,# of Subgroups,Length of Rules
tic-tac-toe,10,958,Binary,sd,0.22636134307585243,0.025052192066805846,0.014352818371607515,0.005670847843236387,,0.14322916666666666,4.0,2.0
tic-tac-toe,10,958,Binary,cn2_sd,-0.6660887508472233,0.30742708926425,0.09663440247991395,-0.009906091920640328,0.18167488437306892,0.2978024244245694,33.0,2.9696969696969697
tic-tac-toe,10,958,Binary,sd_map,0.0862703970637977,0.20869370712794513,0.08425290784372205,0.01192899263863041,0.06562409480793734,0.43282572065461195,14.0,1.5
tic-tac-toe,10,958,Binary,dssd,0.11344203090654029,0.1315240083507307,0.056831361633031784,0.011251016359083356,0.07620898997331578,0.45999735449735457,9.0,1.5
tic-tac-toe,10,958,Binary,nnmeef,-0.3465553235908145,0.01812108559498956,0.0,-0.006279958682188451,0.06863045479827866,0.0,50.0,1.04
tic-tac-toe,10,958,Binary,apriori,,0.3839167797376753,0.13361169102296452,,,,5.0,1.0
iris,5,150,Binary,sd,-0.013333333333333308,0.041666666666666664,0.011666666666666667,-0.002222222222222221,,0.07,4.0,2.0
iris,5,150,Binary,cn2_sd,-0.6847045080457541,0.48266666666666663,0.124,-0.03688888888888888,0.1881586764367656,0.21834213547646386,5.0,1.4
iris,5,150,Binary,sd_map,-0.028638564238949386,0.3195555555555556,0.09555555555555555,-0.010962962962962952,0.7020417000113196,0.3046947690943839,15.0,2.1333333333333333
iris,5,150,Binary,dssd,-0.006549450549450525,0.25666666666666665,0.08533333333333334,-0.00022222222222221464,0.8598522894788617,0.32678388278388276,10.0,2.1333333333333333
iris,5,150,Binary,nnmeef,-0.3333333333333335,0.2799999999999998,0.0,-0.09333333333333335,1.107931596399274e-05,0.0,50.0,1.0
iris,5,150,Binary,apriori,,0.31585979304873313,0.14380952380952383,,,,7.0,1.7142857142857142
hayes-roth_test,5,28,Binary,sd,-0.2142857142857143,0.03571428571428571,0.008928571428571428,-0.0076530612244897975,,0.0625,4.0,2.0
hayes-roth_test,5,28,Binary,cn2_sd,-0.9936962896985921,0.8214285714285714,0.375,-0.006377551020408184,0.05512962708577153,0.45436507936507936,2.0,1.0
hayes-roth_test,5,28,Binary,sd_map,-0.1392857142857143,0.24999999999999997,0.08928571428571429,-0.026785714285714298,0.5065221914686419,0.325,6.0,1.5
hayes-roth_test,5,28,Binary,dssd,-0.1392857142857143,0.24999999999999997,0.08928571428571429,-0.026785714285714298,0.5065221914686419,0.325,6.0,1.5
hayes-roth_test,5,28,Binary,nnmeef,-0.3342857142857141,0.10857142857142855,0.018571428571428565,-0.03183673469387756,0.34217989726148074,0.13,50.0,1.96
hayes-roth_test,5,28,Binary,apriori,,0.39999999999999997,0.14285714285714285,,,,3.0,1.0
contact-lenses,5,24,Binary,sd,-0.20833333333333334,0.16666666666666666,0.0,-0.034722222222222224,,0.0,3.0,1.6666666666666667
contact-lenses,5,24,Binary,cn2_sd,-0.7172485631342982,0.8333333333333333,0.16666666666666669,-0.0069444444444444475,0.0014508616333606355,0.19791666666666669,2.0,1.0
contact-lenses,5,24,Binary,sd_map,-0.01136363636363638,0.29166666666666663,0.0606060606060606,-0.00015782828282828637,0.4185926653061891,0.196969696969697,11.0,1.7272727272727273
contact-lenses,5,24,Binary,dssd,-0.052083333333333356,0.234375,0.031249999999999997,-0.017578125000000003,0.3732155464572981,0.15625,8.0,1.7272727272727273
contact-lenses,5,24,Binary,nnmeef,-0.2083333333333334,0.0766666666666667,0.0,-0.01597222222222224,0.6201438996074995,0.0,50.0,0.96
contact-lenses,5,24,Binary,apriori,,0.3888888888888889,0.1527777777777778,,,,3.0,1.3333333333333333
wisconsin,10,699,Binary,sd,0.5927217453505007,0.07439198855507868,0.06938483547925609,0.04373609550533053,,0.23317307692307693,4.0,2.0
wisconsin,10,699,Binary,cn2_sd,-0.29940415063227144,0.442238912732475,0.0447961373390558,-0.10767822313093915,1.7236821753002676e-06,0.09236033867919541,16.0,2.5625
wisconsin,10,699,Binary,sd_map,0.6111223511258658,0.18886742480529356,0.17824416026386253,0.11312677917934788,3.94664530373975e-24,0.9559006057753651,491.0,4.3991853360488795
wisconsin,10,699,Binary,dssd,0.6393463564920454,0.11802575107296137,0.11608198046899303,0.07538926801036108,1.4080882159262678e-23,0.9841246111415435,92.0,4.3991853360488795
wisconsin,10,699,Binary,nnmeef,-0.34477825464949935,0.0597138769670958,0.0,-0.02058804627907025,0.24144056912467057,0.0,50.0,1.34
wisconsin,10,699,Binary,apriori,,0.955406797411988,0.1795614557323832,,,,483.0,4.364389233954451
cmc,10,1473,Binary,sd,-0.15810808138730154,0.01748133061778683,0.0011880515953835709,-0.0027639396440753664,,0.01699029126213592,4.0,2.0
cmc,10,1473,Binary,cn2_sd,-0.620927088528115,0.40384055862670926,0.08973426437784891,-0.0015616663911220531,0.00075174905377292,0.21838607265010976,28.0,2.7857142857142856
cmc,10,1473,Binary,sd_map,0.014361675314059515,0.23548879837067208,0.06288187372708758,0.009645098535347042,0.09138926921955084,0.24043092174990477,8.0,1.25
cmc,10,1473,Binary,dssd,-0.004618062471957368,0.15587236931432452,0.039375424304141204,0.004137475233082104,0.0335596101752175,0.22145118396388783,5.0,1.25
cmc,10,1473,Binary,nnmeef,-0.22606924643584506,0.0021317040054310925,0.0,-0.00048191271813208004,0.5228823650014897,0.0,50.0,2.72
cmc,10,1473,Binary,apriori,,0.2874995211278397,0.12287847929395791,,,,2.0,1.0
hayes-roth_train,5,132,Binary,sd,-0.26136363636363635,0.015151515151515152,0.001893939393939394,-0.003960055096418733,,0.03125,4.0,2.0
hayes-roth_train,5,132,Binary,cn2_sd,-0.9107658144230837,0.625,0.25378787878787873,0.012310606060606058,0.10787079743637325,0.406407624633431,6.0,1.1666666666666667
hayes-roth_train,5,132,Binary,sd_map,-0.10227272727272727,0.26515151515151514,0.07765151515151515,-0.024793388429752067,0.34464936502336896,0.28409090909090906,4.0,1.0
hayes-roth_train,5,132,Binary,dssd,-0.10227272727272727,0.26515151515151514,0.07765151515151515,-0.024793388429752067,0.34464936502336896,0.28409090909090906,4.0,1.0
hayes-roth_train,5,132,Binary,nnmeef,-0.3863636363636365,0.02348484848484847,0.0,-0.009073691460055096,0.2664254665577978,0.0,50.0,2.42
hayes-roth_train,5,132,Binary,apriori,,0.38636363636363635,0.12878787878787878,,,,1.0,1.0
glass,10,214,Binary,sd,-0.0794392523364486,0.07126168224299065,0.0,-0.005660974757620752,,0.0,4.0,2.0
glass,10,214,Binary,cn2_sd,-0.32280471387706977,0.3107476635514018,0.023831775700934577,-0.0008537863568870631,0.07524579485010406,0.06865727377488641,10.0,2.4
glass,10,214,Binary,sd_map,-0.002534727666015983,0.2121020117218438,0.01655314430540155,-0.00029608092483837537,0.5898518870620767,0.07690452467043261,59.0,2.1864406779661016
glass,10,214,Binary,dssd,-0.02310611961972212,0.14922118380062308,0.00809968847352025,-0.0037543308003610194,0.6047349308832574,0.056333132716726464,30.0,2.1864406779661016
glass,10,214,Binary,nnmeef,-0.07943925233644852,0.012803738317756998,0.0,-0.0010171193990741552,0.8341627984097805,0.0,50.0,3.16
glass,10,214,Binary,apriori,,,,,,,0.0,
car,7,1728,Binary,sd,0.2465277777777778,0.027777777777777776,0.013020833333333334,0.006847993827160495,,0.1171875,4.0,2.0
car,7,1728,Binary,cn2_sd,-0.7779280357307122,0.26603349673202614,0.04641544117647059,-0.012703113652868548,0.08281392595579151,0.16362989061365285,34.0,3.264705882352941
car,7,1728,Binary,sd_map,0.08487654320987656,0.23148148148148145,0.0672582304526749,0.015817901234567906,0.21657109362149252,0.30709876543209874,9.0,1.3333333333333333
car,7,1728,Binary,dssd,0.08998842592592594,0.18055555555555555,0.051408179012345685,0.011284722222222224,0.23548595543808357,0.3122106481481482,6.0,1.3333333333333333
car,7,1728,Binary,nnmeef,-0.12833333333333338,0.03333333333333335,0.0032175925925925935,-0.0041898148148148155,0.1428460957336568,0.09388888888888895,50.0,1.48
car,7,1728,Binary,apriori,,0.328125,0.109375,,,,2.0,1.0
pima-indians,9,768,Binary,sd,0.0,1.0,0.0,0.0,,0.0,1.0,1.0
pima-indians,9,768,Binary,cn2_sd,0.0,0.6666666666666666,0.0,0.0,0.5,0.0,3.0,1.0
pima-indians,9,768,Binary,sd_map,0.0,0.1934154992816092,0.0,0.0,1.0,0.0,116.0,2.836206896551724
pima-indians,9,768,Binary,dssd,0.0,0.148416832010582,0.0,0.0,1.0,0.0,63.0,2.836206896551724
pima-indians,9,768,Binary,nnmeef,0.0,0.007161458333333332,0.0,0.0,1.0,0.0,50.0,3.8
pima-indians,9,768,Binary,apriori,,,,,,,0.0,
abalone,9,4177,Multinomial,sd,0.2723583176061031,0.11060569786928418,0.08516878142207326,0.0300645302212161,,0.19250541125541126,4.0,2.0
abalone,9,4177,Multinomial,cn2_sd,-0.7412002123576861,0.29798100710238606,0.0721239896485288,-0.07633147498639234,0.08251646074146915,0.29090361290935585,42.0,3.6904761904761907
abalone,9,4177,Multinomial,sd_map,0.25393516293320006,0.3045566993855239,0.2288207598097894,0.07708925599813622,1.2002472790449622e-35,0.7521396158898676,255.0,4.015686274509804
abalone,9,4177,Multinomial,dssd,0.2744333126994898,0.25463251137179793,0.19679195594924587,0.06993290491627686,1.7744960650842175e-44,0.7726377656561573,5.0,4.015686274509804
abalone,9,4177,Multinomial,nnmeef,-0.4982044529566672,0.0004069906631553745,0.0,-0.0002027645606957948,0.2814758102194866,0.0,50.0,3.08
abalone,9,4177,Multinomial,apriori,,0.7521396158898682,0.22882075980978944,,,,255.0,4.015686274509804
balance-scale,5,625,Binary,sd,0.0,1.0,0.0,0.0,,0.0,1.0,1.0
balance-scale,5,625,Binary,cn2_sd,0.0,0.6666666666666666,0.0,0.0,0.5,0.0,3.0,1.0
balance-scale,5,625,Binary,sd_map,0.0,0.25600000000000006,0.0,0.0,1.0,0.0,10.0,1.6
balance-scale,5,625,Binary,dssd,0.0,0.25600000000000006,0.0,0.0,1.0,0.0,10.0,1.6
balance-scale,5,625,Binary,nnmeef,0.0,0.08697599999999996,0.0,0.0,1.0,0.0,50.0,1.16
balance-scale,5,625,Binary,apriori,,,,,,,0.0,
haberman,4,306,Binary,sd,0.2268195413758724,0.04820261437908497,0.02287581699346405,0.010116301422529794,,0.11864406779661017,4.0,2.0
haberman,4,306,Binary,cn2_sd,-0.7977104109609077,0.5509803921568628,0.1366013071895425,-0.00924644367550942,0.025209730244955472,0.2044628024601245,5.0,1.4
haberman,4,306,Binary,sd_map,0.13200414261092694,0.3681917211328976,0.13616557734204793,0.03870306292451622,0.21698338449383625,0.39671002496386815,3.0,1.3333333333333333
haberman,4,306,Binary,dssd,0.2268195413758724,0.19281045751633988,0.09477124183006536,0.04373317954632833,0.0007985754549991444,0.4915254237288136,1.0,1.3333333333333333
haberman,4,306,Binary,nnmeef,-0.25552941176470617,0.03509803921568622,0.002549019607843137,-0.006741637831603236,0.24418833052611755,0.009176470588235295,50.0,1.94
haberman,4,306,Binary,apriori,,0.3493023255813954,0.1568627450980392,,,,2.0,1.0
zoo,18,101,Binary,sd,0.8712871287128713,0.0429042904290429,0.039603960396039604,0.034081625984380616,,0.3076923076923077,3.0,1.6666666666666667
zoo,18,101,Binary,cn2_sd,-0.3125274734026105,0.7871287128712872,0.06435643564356436,-0.03695716106264092,0.7559772162016823,0.07230167461190563,4.0,1.25
zoo,18,101,Binary,sd_map,0.05805580290548057,0.1843632639125982,0.03311710481392967,0.00938717975587248,0.28147718225034146,0.18676867419260929,29.0,1.8275862068965518
zoo,18,101,Binary,dssd,0.04552955295529548,0.14026402640264027,0.02227722772277228,0.004223442146194817,0.33819421628590346,0.17424242424242423,12.0,1.8275862068965518
zoo,18,101,Binary,nnmeef,,,,,,,0.0,
zoo,18,101,Binary,apriori,,0.7370814992663731,0.12871287128712872,,,,7.0,1.7142857142857142
credit-a,16,690,Binary,sd,0.0,1.0,0.0,0.0,,0.0,1.0,1.0
credit-a,16,690,Binary,cn2_sd,0.0,0.6666666666666666,0.0,0.0,0.5,0.0,3.0,1.0
credit-a,16,690,Binary,sd_map,0.0,0.18129117259552044,0.0,0.0,1.0,0.0,110.0,2.3545454545454545
credit-a,16,690,Binary,dssd,0.0,0.13083867902114515,0.0,0.0,1.0,0.0,61.0,2.3545454545454545
credit-a,16,690,Binary,nnmeef,0.0,0.003014492753623189,0.0,0.0,1.0,0.0,50.0,2.56
credit-a,16,690,Binary,apriori,,,,,,,0.0,
